        89        50
        89
         1        50         7     .0005
         1        50         8     .0005
         1        50         9     .0005
         1        50        10     .0005
         1        50        11     .0005
         1        50        12     .0005
         1        50        13     .0005
         1        50        14     .0005
         1        50        15     .0005
         1        50        16     .0005
         1        50        17     .0005
         1        50        18     .0005
         1        50        19     .0005
         1        50        20     .0005
         1        50        21     .0005
         1        50        22     .0005
         1        50        23     .0005
         1        50        24     .0005
         1        50        25     .0005
         1        50        26     .0005
         1        50        27     .0005
         1        50        28     .0005
         1        50        29     .0005
         1        50        30     .0005
         1        50        31     .0005
         1        50        32     .0005
         1        50        33     .0005
         1        50        34     .0005
         1        50        35     .0005
         1        50        36     .0005
         1        50        37     .0005
         1        50        38     .0005
         1        50        39     .0005
         1        50        40     .0005
         1        50        41     .0005
         1        50        42     .0005
         1        50        43     .0005
         1        50        44     .0005
         1        50        45     .0005
         1        50        46     .0005
         1        50        47     .0005
         1        50        48     .0005
         1        50        49     .0005
         1        50        50     .0005
         1        50        51     .0005
         1        50        52     .0005
         1        50        53     .0005
         1        50        54     .0005
         1        50        55     .0005
         1        50        56     .0005
         1        50        57     .0005
         1        50        58     .0005
         1        50        59     .0005
         1        50        60     .0005
         1        50        61     .0005
         1        50        62     .0005
         1        50        63     .0005
         1        50        64     .0005
         1        50        65     .0005
         1        50        66     .0005
         1        50        67     .0005
         1        50        68     .0005
         1        50        69     .0005
         1        50        70     .0005
         1        50        71     .0005
         1        50        72     .0005
         1        50        73     .0005
         1        50        74     .0005
         1        50        75     .0005
         1        50        76     .0005
         1        50        77     .0005
         1        50        78     .0005
         1        50        79     .0005
         1        50        80     .0005
         1        50        81     .0005
         1        50        82     .0005
         1        50        83     .0005
         1        50        84     .0005
         1        50        85     .0005
         1        50        86     .0005
         1        50        87     .0005
         1        50        88     .0005
         1        50        89     .0005
         2        23        53   -.01157
         2        23        57   -.01157
         2        25        53   -.01157
         2        25        57   -.01157
         2        27        53   -.01157
         2        27        57   -.01157
